# Database of PFIS CCD amplifier properties
# 15 Nov 2014--Updated based on-telescope measurements
# See: http://www.salt.ac.za/~lab/pdetanom/
# ROSPEED GAINSET   GAIN RDNOISE BIAS AMP
SLOW FAINT   1.685 2.34 300 amp1
SLOW FAINT   1.755 2.51 300 amp2
SLOW FAINT   1.820 2.45 300 amp3
SLOW FAINT   1.732 2.33 300 amp4
SLOW FAINT   1.660 2.38 300 amp5
SLOW FAINT   1.607 2.22 300 amp6
SLOW BRIGHT  3.73  4.29 300 amp1
SLOW BRIGHT  3.77  4.47 300 amp2
SLOW BRIGHT  3.76  3.79 300 amp3
SLOW BRIGHT  3.65  3.72 300 amp4
SLOW BRIGHT  3.39  3.60 300 amp5
SLOW BRIGHT  3.26  3.42 300 amp6
FAST FAINT   3.07  4.79 300 amp1
FAST FAINT   3.13  4.77 300 amp2
FAST FAINT   3.10  4.37 300 amp3
FAST FAINT   2.89  4.32 300 amp4
FAST FAINT   2.88  4.30 300 amp5
FAST FAINT   2.72  4.10 300 amp6
FAST BRIGHT  11.16 14.15 300 amp1
FAST BRIGHT  10.81 14.30 300 amp2
FAST BRIGHT  11.39 12.47 300 amp3
FAST BRIGHT  11.13 12.74 300 amp4
FAST BRIGHT  9.41 11.26 300 amp5
FAST BRIGHT  9.36 11.00 300 amp6
